,0
1992-01-01,-48.421880973349545
1992-02-01,-51.760052586706536
1992-03-01,2.530630063576786
1992-04-01,-9.333777467237805
1992-05-01,19.59163300904271
1992-06-01,6.818615589065656
1992-07-01,5.356025916651482
1992-08-01,14.766265961913186
1992-09-01,-18.41374748720853
1992-10-01,-4.733376123540635
1992-11-01,3.2081380875436114
1992-12-01,80.39152601024962
1993-01-01,-48.421880973349545
1993-02-01,-51.760052586706536
1993-03-01,2.530630063576786
1993-04-01,-9.333777467237805
1993-05-01,19.59163300904271
1993-06-01,6.818615589065656
1993-07-01,5.356025916651482
1993-08-01,14.766265961913186
1993-09-01,-18.41374748720853
1993-10-01,-4.733376123540635
1993-11-01,3.2081380875436114
1993-12-01,80.39152601024962
1994-01-01,-48.421880973349545
1994-02-01,-51.760052586706536
1994-03-01,2.530630063576786
1994-04-01,-9.333777467237805
1994-05-01,19.59163300904271
1994-06-01,6.818615589065656
1994-07-01,5.356025916651482
1994-08-01,14.766265961913186
1994-09-01,-18.41374748720853
1994-10-01,-4.733376123540635
1994-11-01,3.2081380875436114
1994-12-01,80.39152601024962
1995-01-01,-48.421880973349545
1995-02-01,-51.760052586706536
1995-03-01,2.530630063576786
1995-04-01,-9.333777467237805
1995-05-01,19.59163300904271
1995-06-01,6.818615589065656
1995-07-01,5.356025916651482
1995-08-01,14.766265961913186
1995-09-01,-18.41374748720853
1995-10-01,-4.733376123540635
1995-11-01,3.2081380875436114
1995-12-01,80.39152601024962
1996-01-01,-48.421880973349545
1996-02-01,-51.760052586706536
1996-03-01,2.530630063576786
1996-04-01,-9.333777467237805
1996-05-01,19.59163300904271
1996-06-01,6.818615589065656
1996-07-01,5.356025916651482
1996-08-01,14.766265961913186
1996-09-01,-18.41374748720853
1996-10-01,-4.733376123540635
1996-11-01,3.2081380875436114
1996-12-01,80.39152601024962
1997-01-01,-48.421880973349545
1997-02-01,-51.760052586706536
1997-03-01,2.530630063576786
1997-04-01,-9.333777467237805
1997-05-01,19.59163300904271
1997-06-01,6.818615589065656
1997-07-01,5.356025916651482
1997-08-01,14.766265961913186
1997-09-01,-18.41374748720853
1997-10-01,-4.733376123540635
1997-11-01,3.2081380875436114
1997-12-01,80.39152601024962
1998-01-01,-48.421880973349545
1998-02-01,-51.760052586706536
1998-03-01,2.530630063576786
1998-04-01,-9.333777467237805
1998-05-01,19.59163300904271
1998-06-01,6.818615589065656
1998-07-01,5.356025916651482
1998-08-01,14.766265961913186
1998-09-01,-18.41374748720853
1998-10-01,-4.733376123540635
1998-11-01,3.2081380875436114
1998-12-01,80.39152601024962
1999-01-01,-48.421880973349545
1999-02-01,-51.760052586706536
1999-03-01,2.530630063576786
1999-04-01,-9.333777467237805
1999-05-01,19.59163300904271
1999-06-01,6.818615589065656
1999-07-01,5.356025916651482
1999-08-01,14.766265961913186
1999-09-01,-18.41374748720853
1999-10-01,-4.733376123540635
1999-11-01,3.2081380875436114
1999-12-01,80.39152601024962
2000-01-01,-48.421880973349545
2000-02-01,-51.760052586706536
2000-03-01,2.530630063576786
2000-04-01,-9.333777467237805
2000-05-01,19.59163300904271
2000-06-01,6.818615589065656
2000-07-01,5.356025916651482
2000-08-01,14.766265961913186
2000-09-01,-18.41374748720853
2000-10-01,-4.733376123540635
2000-11-01,3.2081380875436114
2000-12-01,80.39152601024962
2001-01-01,-48.421880973349545
2001-02-01,-51.760052586706536
2001-03-01,2.530630063576786
2001-04-01,-9.333777467237805
2001-05-01,19.59163300904271
2001-06-01,6.818615589065656
2001-07-01,5.356025916651482
2001-08-01,14.766265961913186
2001-09-01,-18.41374748720853
2001-10-01,-4.733376123540635
2001-11-01,3.2081380875436114
2001-12-01,80.39152601024962
2002-01-01,-48.421880973349545
2002-02-01,-51.760052586706536
2002-03-01,2.530630063576786
2002-04-01,-9.333777467237805
2002-05-01,19.59163300904271
2002-06-01,6.818615589065656
2002-07-01,5.356025916651482
2002-08-01,14.766265961913186
2002-09-01,-18.41374748720853
2002-10-01,-4.733376123540635
2002-11-01,3.2081380875436114
2002-12-01,80.39152601024962
2003-01-01,-48.421880973349545
2003-02-01,-51.760052586706536
2003-03-01,2.530630063576786
2003-04-01,-9.333777467237805
2003-05-01,19.59163300904271
2003-06-01,6.818615589065656
2003-07-01,5.356025916651482
2003-08-01,14.766265961913186
2003-09-01,-18.41374748720853
2003-10-01,-4.733376123540635
2003-11-01,3.2081380875436114
2003-12-01,80.39152601024962
2004-01-01,-48.421880973349545
2004-02-01,-51.760052586706536
2004-03-01,2.530630063576786
2004-04-01,-9.333777467237805
2004-05-01,19.59163300904271
2004-06-01,6.818615589065656
2004-07-01,5.356025916651482
2004-08-01,14.766265961913186
2004-09-01,-18.41374748720853
2004-10-01,-4.733376123540635
2004-11-01,3.2081380875436114
2004-12-01,80.39152601024962
2005-01-01,-48.421880973349545
2005-02-01,-51.760052586706536
2005-03-01,2.530630063576786
2005-04-01,-9.333777467237805
2005-05-01,19.59163300904271
2005-06-01,6.818615589065656
2005-07-01,5.356025916651482
2005-08-01,14.766265961913186
2005-09-01,-18.41374748720853
2005-10-01,-4.733376123540635
2005-11-01,3.2081380875436114
2005-12-01,80.39152601024962
2006-01-01,-48.421880973349545
2006-02-01,-51.760052586706536
2006-03-01,2.530630063576786
2006-04-01,-9.333777467237805
2006-05-01,19.59163300904271
2006-06-01,6.818615589065656
2006-07-01,5.356025916651482
2006-08-01,14.766265961913186
2006-09-01,-18.41374748720853
2006-10-01,-4.733376123540635
2006-11-01,3.2081380875436114
2006-12-01,80.39152601024962
2007-01-01,-48.421880973349545
2007-02-01,-51.760052586706536
2007-03-01,2.530630063576786
2007-04-01,-9.333777467237805
2007-05-01,19.59163300904271
2007-06-01,6.818615589065656
2007-07-01,5.356025916651482
2007-08-01,14.766265961913186
2007-09-01,-18.41374748720853
2007-10-01,-4.733376123540635
2007-11-01,3.2081380875436114
2007-12-01,80.39152601024962
2008-01-01,-48.421880973349545
2008-02-01,-51.760052586706536
2008-03-01,2.530630063576786
2008-04-01,-9.333777467237805
2008-05-01,19.59163300904271
2008-06-01,6.818615589065656
2008-07-01,5.356025916651482
2008-08-01,14.766265961913186
2008-09-01,-18.41374748720853
2008-10-01,-4.733376123540635
2008-11-01,3.2081380875436114
2008-12-01,80.39152601024962
2009-01-01,-48.421880973349545
2009-02-01,-51.760052586706536
2009-03-01,2.530630063576786
2009-04-01,-9.333777467237805
2009-05-01,19.59163300904271
2009-06-01,6.818615589065656
2009-07-01,5.356025916651482
2009-08-01,14.766265961913186
2009-09-01,-18.41374748720853
2009-10-01,-4.733376123540635
2009-11-01,3.2081380875436114
2009-12-01,80.39152601024962
2010-01-01,-48.421880973349545
2010-02-01,-51.760052586706536
2010-03-01,2.530630063576786
2010-04-01,-9.333777467237805
2010-05-01,19.59163300904271
2010-06-01,6.818615589065656
2010-07-01,5.356025916651482
2010-08-01,14.766265961913186
2010-09-01,-18.41374748720853
2010-10-01,-4.733376123540635
2010-11-01,3.2081380875436114
2010-12-01,80.39152601024962
2011-01-01,-48.421880973349545
2011-02-01,-51.760052586706536
2011-03-01,2.530630063576786
2011-04-01,-9.333777467237805
2011-05-01,19.59163300904271
2011-06-01,6.818615589065656
2011-07-01,5.356025916651482
2011-08-01,14.766265961913186
2011-09-01,-18.41374748720853
2011-10-01,-4.733376123540635
2011-11-01,3.2081380875436114
2011-12-01,80.39152601024962
2012-01-01,-48.421880973349545
2012-02-01,-51.760052586706536
2012-03-01,2.530630063576786
2012-04-01,-9.333777467237805
2012-05-01,19.59163300904271
2012-06-01,6.818615589065656
2012-07-01,5.356025916651482
2012-08-01,14.766265961913186
2012-09-01,-18.41374748720853
2012-10-01,-4.733376123540635
2012-11-01,3.2081380875436114
2012-12-01,80.39152601024962
2013-01-01,-48.421880973349545
2013-02-01,-51.760052586706536
2013-03-01,2.530630063576786
2013-04-01,-9.333777467237805
2013-05-01,19.59163300904271
2013-06-01,6.818615589065656
2013-07-01,5.356025916651482
2013-08-01,14.766265961913186
2013-09-01,-18.41374748720853
2013-10-01,-4.733376123540635
2013-11-01,3.2081380875436114
2013-12-01,80.39152601024962
2014-01-01,-48.421880973349545
2014-02-01,-51.760052586706536
2014-03-01,2.530630063576786
2014-04-01,-9.333777467237805
2014-05-01,19.59163300904271
2014-06-01,6.818615589065656
2014-07-01,5.356025916651482
2014-08-01,14.766265961913186
2014-09-01,-18.41374748720853
2014-10-01,-4.733376123540635
2014-11-01,3.2081380875436114
2014-12-01,80.39152601024962
2015-01-01,-48.421880973349545
2015-02-01,-51.760052586706536
2015-03-01,2.530630063576786
2015-04-01,-9.333777467237805
2015-05-01,19.59163300904271
2015-06-01,6.818615589065656
2015-07-01,5.356025916651482
2015-08-01,14.766265961913186
2015-09-01,-18.41374748720853
2015-10-01,-4.733376123540635
2015-11-01,3.2081380875436114
2015-12-01,80.39152601024962
2016-01-01,-48.421880973349545
2016-02-01,-51.760052586706536
2016-03-01,2.530630063576786
2016-04-01,-9.333777467237805
2016-05-01,19.59163300904271
2016-06-01,6.818615589065656
2016-07-01,5.356025916651482
2016-08-01,14.766265961913186
2016-09-01,-18.41374748720853
2016-10-01,-4.733376123540635
2016-11-01,3.2081380875436114
2016-12-01,80.39152601024962
2017-01-01,-48.421880973349545
2017-02-01,-51.760052586706536
2017-03-01,2.530630063576786
2017-04-01,-9.333777467237805
2017-05-01,19.59163300904271
2017-06-01,6.818615589065656
2017-07-01,5.356025916651482
2017-08-01,14.766265961913186
2017-09-01,-18.41374748720853
2017-10-01,-4.733376123540635
2017-11-01,3.2081380875436114
2017-12-01,80.39152601024962
2018-01-01,-48.421880973349545
2018-02-01,-51.760052586706536
2018-03-01,2.530630063576786
2018-04-01,-9.333777467237805
2018-05-01,19.59163300904271
2018-06-01,6.818615589065656
2018-07-01,5.356025916651482
2018-08-01,14.766265961913186
2018-09-01,-18.41374748720853
2018-10-01,-4.733376123540635
2018-11-01,3.2081380875436114
2018-12-01,80.39152601024962
2019-01-01,-48.421880973349545
2019-02-01,-51.760052586706536
2019-03-01,2.530630063576786
2019-04-01,-9.333777467237805
2019-05-01,19.59163300904271
2019-06-01,6.818615589065656
2019-07-01,5.356025916651482
2019-08-01,14.766265961913186
2019-09-01,-18.41374748720853
2019-10-01,-4.733376123540635
2019-11-01,3.2081380875436114
2019-12-01,80.39152601024962
2020-01-01,-48.421880973349545
2020-02-01,-51.760052586706536
2020-03-01,2.530630063576786
2020-04-01,-9.333777467237805
2020-05-01,19.59163300904271
2020-06-01,6.818615589065656
2020-07-01,5.356025916651482
2020-08-01,14.766265961913186
2020-09-01,-18.41374748720853
2020-10-01,-4.733376123540635
2020-11-01,3.2081380875436114
2020-12-01,80.39152601024962
2021-01-01,-48.421880973349545
2021-02-01,-51.760052586706536
2021-03-01,2.530630063576786
2021-04-01,-9.333777467237805
